Rank,Name,Symbol,Price,Market Cap,FDV,24h Change (%),7 Days Change (%),1h Change (%),Volume ($)
133,Frax,FRAX,$0.9935,"$645,158,263",,0.4,-0.244,-0.405,"$645,158,263"
130,Bridged USDC (Polygon PoS Bridge),USDC.E,$0.997,"$644,682,005",,0.3,-0.24,-0.192,"$644,682,005"
131,Axelar,AXL,$0.7759,"$911,201,672",,1.8,-5.867,-2.411,"$642,362,297"
134,Kelp DAO Restaked ETH,RSETH,"$2,763.38","$635,560,395","$635,560,395",2.2,4.625,-0.394,"$4,086,570"
135,Akash Network,AKT,$2.52,"$623,551,281","$625,680,963",6.8,3.013,-0.854,"$28,738,492"
136,Turbo,TURBO,$0.008965,"$620,447,135",,5.2,-8.104,-1.583,"$620,447,135"
138,The Sandbox,SAND,$0.2546,"$765,661,333",,0.3,-4.417,-1.02,"$609,780,885"
137,Ethereum Name Service,ENS,$18.34,"$609,391,242","$1,837,420,450",5.8,5.424,-2.277,"$207,652,153"
139,Safe,SAFE,$1.23,"$602,953,888","$1,233,287,213",1.8,25.482,-0.838,"$86,660,624"
140,BOOK OF MEME,BOME,$0.00867,"$599,223,714",,3.1,-5.892,-1.552,"$599,223,714"
141,Goatseus Maximus,GOAT,$0.5905,"$597,759,768",,14.4,-18.822,-2.485,"$597,759,768"
142,SuperVerse,SUPER,$1.32,"$597,123,715","$1,321,960,116",3.4,-0.634,-1.229,"$46,940,278"
143,L2 Standard Bridged WETH (Base),WETH,"$2,684.30","$588,021,354","$588,021,354",2.1,4.898,-1.039,"$902,445,007"
144,Nervos Network,CKB,$0.01305,"$595,805,102",,2.7,-8.307,-0.655,"$586,458,579"
146,Zcash,ZEC,$38.12,"$576,370,675","$800,537,319",1.9,1.267,-0.412,"$92,314,470"
145,PayPal USD,PYUSD,$0.9971,"$587,612,782",,0.3,-0.243,-0.338,"$576,239,363"
148,Chiliz,CHZ,$0.0622,"$568,759,051",,0.7,-9.368,-0.908,"$568,759,051"
147,Decentraland,MANA,$0.304,"$667,456,067",,0.0,-2.515,-0.532,"$568,506,466"
149,Eigenlayer,EIGEN,$2.99,"$560,127,683","$5,066,877,564",6.8,-13.441,-4.66,"$212,881,735"
150,Ronin,RON,$1.56,"$558,073,119","$1,558,366,290",1.5,-2.564,-0.781,"$14,259,228"
151,Gnosis,GNO,$212.82,"$551,211,443","$638,570,186",0.6,9.197,-1.409,"$11,260,137"
152,PAX Gold,PAXG,"$2,763.75","$542,398,203","$542,398,203",0.0,0.877,-0.501,"$24,119,291"
153,SATS (Ordinals),SATS,"$37,343,199","$539,171,266",,0.8,-2.441,-0.965,"$539,171,266"
154,Arbitrum Bridged WETH (Arbitrum One),WETH,"$2,686.09","$530,623,804","$530,623,804",2.0,5.068,-0.927,"$624,735,110"
155,Coinbase Wrapped Staked ETH,CBETH,"$2,914.29","$530,040,570","$1,087,483,315",2.3,5.343,-0.659,"$7,110,041"
156,Terra Luna Classic,LUNC,$0.00009225,"$626,070,021",,0.3,2.445,-0.775,"$527,974,565"
157,ZKsync,ZK,$0.1415,"$2,980,955,488",,5.7,3.842,-2.064,"$521,667,210"
158,AIOZ Network,AIOZ,$0.4584,"$519,338,847",,0.3,3.339,-1.051,"$519,218,805"
159,Beldex,BDX,$0.07743,"$769,125,482",,0.2,1.4,-0.559,"$517,546,813"
160,Super OETH,SUPEROETHB,"$2,685.74","$510,704,386","$510,704,386",2.2,4.967,-0.993,"$5,923,541"
161,PancakeSwap,CAKE,$1.81,"$499,131,021","$691,357,067",1.3,-1.638,-1.05,"$63,339,905"
162,Gigachad,GIGA,$0.05158,"$495,437,700",,5.8,-14.052,1.466,"$495,437,700"
163,TrueUSD,TUSD,$0.992,"$491,648,332",,0.4,-0.268,-0.284,"$491,648,332"
164,Arkham,ARKM,$1.65,"$489,689,868","$1,646,619,437",2.4,-0.355,-1.935,"$87,174,729"
165,Synthetix Network,SNX,$1.48,"$485,412,226","$486,040,016",1.1,0.444,-1.396,"$29,551,080"
167,dYdX,ETHDYDX,$1.06,"$480,945,205","$480,945,205",1.5,0.022,0.641,"$63,372,196"
166,DeXe,DEXE,$8.42,"$480,830,418","$812,604,342",0.2,-0.331,-0.624,"$1,897,108"
168,Blur,BLUR,$0.2365,"$712,259,312",,2.3,-4.516,-1.943,"$468,402,211"
169,DOG•GO•TO•THE•MOON (Runes),DOG,$0.004615,"$461,864,613",,2.0,-4.508,-2.114,"$461,864,613"
170,Oasis,ROSE,$0.06798,"$679,805,881",,3.3,-2.616,-1.435,"$457,495,483"
171,Frax Ether,FRXETH,"$2,678.23","$443,345,374","$443,345,374",2.0,5.088,-1.097,"$933,513"
172,APENFT,NFT,"$23,804,136","$446,739,525",,1.2,5.723,-0.308,"$442,323,766"
173,Trust Wallet,TWT,$1.03,"$431,380,311","$1,035,354,409",0.2,0.904,-0.431,"$18,535,986"
174,XDC Network,XDC,$0.02789,"$1,060,242,925",,0.4,1.239,-0.373,"$417,137,933"
176,IOTA,IOTA,$0.118,"$543,900,275",,2.5,0.959,-1.247,"$413,533,691"
175,Astar,ASTR,$0.05588,"$462,189,827",,0.2,-3.924,-0.763,"$413,131,981"
177,Bitcoin Gold,BTG,$23.25,"$407,365,326","$488,449,753",2.1,4.512,-1.111,"$7,169,317"
178,USDB,USDB,$0.9906,"$404,678,900",,0.5,-0.838,-0.904,"$404,678,900"
179,Avalanche Bridged BTC (Avalanche),BTC.B,"$71,729.39","$403,312,710","$403,312,710",0.0,7.963,-0.518,"$18,352,024"
180,Baby Doge Coin,BABYDOGE,"$25,119,829","$1,066,453,333",,4.3,-11.286,-1.797,"$400,620,312"
181,Memecoin,MEME,$0.01372,"$948,078,188",,5.1,9.57,0.081,"$399,771,998"
183,Hashnote USYC,USYC,$1.07,"$399,350,622","$399,350,622",0.2,,0.103,"$1,492.01"
182,L2 Standard Bridged WETH (Blast),WETH,"$2,684.42","$397,534,418","$397,534,418",2.1,4.651,-0.969,"$5,633,994"
185,LayerZero,ZRO,$3.56,"$396,260,355","$3,565,003,867",1.0,-2.43,-1.033,"$102,878,670"
187,Livepeer,LPT,$11.13,"$395,938,487","$395,938,487",0.8,-5.807,-0.937,"$44,899,033"
186,GMT,GMT,$0.1354,"$715,911,062",,0.8,2.876,-0.799,"$395,430,805"
184,IoTeX,IOTX,$0.04171,"$395,025,016",,2.9,5.396,-1.511,"$395,025,016"
188,Ondo US Dollar Yield,USDY,$1.06,"$391,778,986","$441,324,116",0.2,-0.143,-0.559,"$201,354"
190,Compound,COMP,$44.27,"$389,979,245","$443,834,221",0.5,1.148,-0.736,"$36,423,023"
189,Polygon PoS Bridged WETH (Polygon POS),WETH,"$2,684.68","$390,007,754","$390,007,754",2.1,4.978,-0.798,"$34,942,017"
191,ConstitutionDAO,PEOPLE,$0.0764,"$388,894,381",,2.0,-5.396,-0.804,"$388,894,381"
192,Kava,KAVA,$0.3517,"$381,471,208",,3.9,1.123,-0.715,"$381,471,208"
193,Echelon Prime,PRIME,$7.88,"$377,981,161","$876,563,204",1.5,-1.734,-0.227,"$22,579,058"
194,WOO,WOO,$0.202,"$451,366,709",,8.7,3.703,-1.7,"$372,377,871"
195,Theta Fuel,TFUEL,$0.05513,"$371,457,822",,1.0,-6.396,-0.643,"$371,453,554"
196,Binance-Peg BUSD,BUSD,$1.00,"$368,238,576","$368,238,576",0.2,0.1,0.042,"$6,223,712"
197,Usual USD,USD0,$0.9965,"$367,489,918",,0.4,-0.118,-0.311,"$367,489,918"
198,Celo,CELO,$0.6567,"$659,521,872",,0.7,-9.518,-1.017,"$363,379,892"
199,EthereumPoW,ETHW,$3.33,"$359,834,609","$359,834,609",2.7,2.642,-0.535,"$19,826,166"
200,Swell Ethereum,SWETH,"$2,875.72","$348,890,723","$348,900,451",2.1,4.91,-0.889,"$182,282"
201,SafePal,SFP,$0.7123,"$356,258,305",,0.4,-0.292,-0.908,"$347,351,847"
202,Reserve Rights,RSR,$0.00655,"$655,005,604",,0.7,-2.587,-1.047,"$343,054,331"
203,ALEO,ALEO,$1.50,"$342,055,576","$2,362,563,641",0.7,-25.926,-0.978,"$9,186,177"
206,Stader ETHx,ETHX,"$2,802.63","$338,272,798","$338,272,798",2.1,5.247,-0.678,"$555,249"
204,Metaplex,MPLX,$0.4459,"$446,643,769",,11.8,1.935,-1.393,"$337,577,745"
205,Binance Staked SOL,BNSOL,$175.06,"$337,426,873","$337,426,873",3.5,3.713,-1.909,"$7,312,194"
208,Virtuals Protocol,VIRTUAL,$0.3357,"$332,549,871",,15.3,79.239,1.809,"$332,549,871"
207,1inch,1INCH,$0.2601,"$390,604,214",,1.1,-1.77,-0.746,"$332,288,788"
209,Dymension,DYM,$1.56,"$331,651,645","$1,571,472,507",2.7,-4.828,-1.321,"$36,343,623"
210,Staked Frax Ether,SFRXETH,"$2,958.95","$330,167,782","$330,167,782",2.2,5.239,-0.499,"$9,900.16"
212,Ether.fi,ETHFI,$1.55,"$322,612,445","$1,554,417,241",5.5,-1.656,-0.694,"$184,499,417"
213,CHEX Token,CHEX,$0.3209,"$321,842,098",,6.7,28.636,-1.317,"$321,842,098"
211,PepeCoin,PEPECOIN,$2.68,"$322,750,199","$358,978,258",5.7,55.316,-0.279,"$7,644,618"
214,QuantixAI,QAI,$82.83,"$320,783,256","$827,583,829",0.2,1.577,-0.473,"$3,166,027"
215,Curve DAO,CRV,$0.2616,"$573,564,341",,4.1,3.692,-0.306,"$318,341,818"
216,WEMIX,WEMIX,$0.7692,"$409,181,590",,1.3,-0.51,-0.569,"$317,216,025"
217,Mask Network,MASK,$3.16,"$317,104,952","$317,104,952",37.9,41.658,-1.734,"$955,558,111"
219,Dogs,DOGS,$0.000606,"$335,078,626",,3.4,-13.945,-1.414,"$314,821,600"
218,Golem,GLM,$0.3152,"$315,273,040",,0.8,-3.126,-1.246,"$315,273,040"
220,ZetaChain,ZETA,$0.6794,"$1,427,676,213",,5.7,-6.646,-2.267,"$312,452,888"
221,Binance-Peg Dogecoin,DOGE,$0.1669,"$311,066,903",,0.6,19.383,-1.632,"$311,066,903"
222,Osmosis,OSMO,$0.4412,"$439,735,029",,1.7,-13.096,-1.311,"$304,525,911"
223,Amp,AMP,$0.00378,"$376,469,904",,1.2,-1.565,-1.127,"$304,904,809"
224,Jito,JTO,$2.33,"$299,730,340","$2,333,526,219",4.3,9.495,-1.591,"$123,853,256"
226,Holo,HOT,$0.001681,"$299,011,191",,0.8,1.494,-1.007,"$299,011,191"
225,tBTC,TBTC,"$71,669.57","$298,859,842","$298,859,842",0.2,8.142,-0.77,"$13,531,170"
228,Aevo,AEVO,$0.3354,"$336,009,376",,0.9,-7.587,-1.123,"$296,435,579"
227,Liquid Staked ETH,LSETH,"$2,843.46","$296,158,751","$296,158,751",1.9,4.389,-0.849,"$17,456.84"
229,Moonwell,WELL,$0.1007,"$503,982,125",,0.1,64.403,-2.842,"$293,665,319"
230,JUST,JST,$0.02955,"$291,585,005",,0.8,1.684,-0.28,"$291,585,005"
231,Nosana,NOS,$3.49,"$290,773,230","$348,648,957",9.6,63.468,-0.882,"$7,404,537"
232,cWBTC,CWBTC,"$1,441.64","$289,242,192","$289,242,192",0.2,7.979,-0.168,$0.00
233,MX,MX,$2.99,"$289,089,641","$1,259,872,376",1.5,-2.51,-0.379,"$31,105,556"
234,HarryPotterObamaSonic10Inu (ETH),BITCOIN,$0.2872,"$286,321,491",,11.3,12.743,1.582,"$286,321,491"
235,Polygon Bridged WBTC (Polygon POS),WBTC,"$71,706.99","$283,241,440","$283,241,440",0.1,8.216,-0.653,"$12,155,931"
236,Zilliqa,ZIL,$0.01477,"$292,243,695",,2.4,0.6,-0.836,"$282,112,746"
237,Verus,VRSC,$3.64,"$281,207,020","$302,481,237",0.2,5.52,-0.403,"$42,634.45"
239,0x Protocol,ZRX,$0.3302,"$330,868,893",,0.6,-3.011,-0.829,"$280,708,031"
238,Apu Apustaja,APU,$0.0008587,"$290,471,720",,7.6,-11.95,0.479,"$280,155,825"
240,Dash,DASH,$23.09,"$277,162,430","$436,740,426",0.6,-0.409,-0.502,"$31,471,565"
241,Fwog,FWOG,$0.2815,"$275,538,747",,13.7,27.66,-4.132,"$275,538,747"
242,Kusama,KSM,$17.46,"$274,304,917","$274,304,917",1.9,-2.866,-0.913,"$24,533,119"
243,Siacoin,SC,$0.00474,"$273,758,109",,0.3,-1.707,-0.805,"$273,618,252"
244,Metis,METIS,$44.43,"$271,504,951","$444,992,744",1.4,0.544,-1.857,"$33,881,579"
245,Aragon,ANT,$6.69,"$267,790,122","$288,874,377",2.1,4.876,-0.891,"$24,947.59"
246,Manta Network,MANTA,$0.6917,"$695,130,278",,4.0,-4.149,-1.46,"$266,553,816"
247,Ravencoin,RVN,$0.01816,"$382,145,977",,1.7,7.68,-0.664,"$262,839,029"
248,aelf,ELF,$0.3608,"$357,533,320",,0.2,-1.428,-0.728,"$261,630,624"
249,Enjin Coin,ENJ,$0.148,"$273,188,622",,0.2,-5.039,-1.408,"$261,407,687"
